Scenario URI,Bag,Hydra Exit Code,error,Machine Atrophy Status,Machine Atrophy Score,braking_discomfort_severity,comfort_inverse_rdi_proxy,sim_safety_proxy_likelihood_score,sim_safety_proxy_risk_score,steering_discomfort_severity,combined_non_rqe_probability,accumulated_travel,av_odometer_travel,lbv_metrics_max_lbv,roadcraft,av_in_intersection_scene__event_count,av_in_intersection_scene__max_event_duration,av_in_intersection_scene__total_event_duration,av_in_mid_intersection_on_red_scene__event_count,av_in_mid_intersection_on_red_scene__max_event_duration,av_in_mid_intersection_on_red_scene__total_event_duration,av_brake_jab_scene__event_count,av_brake_jab_scene__max_event_duration,av_brake_jab_scene__total_event_duration,av_has_traffic_light_directive_reason_scene__event_count,av_has_traffic_light_directive_reason_scene__max_event_duration,av_has_traffic_light_directive_reason_scene__total_event_duration,av_in_traffic_light_accept_region_duration,av_in_traffic_light_assert_region_duration,av_in_traffic_light_yield_region_duration,ya_red_light_duration,tl_metrics_running_red_light_catchall,tl_metrics_running_red_light,red_light_scene__total_event_duration,red_light_scene__max_event_duration,red_light_scene__event_count,red_light_jerk_metrics_n_ticks_with_jerk_event,red_light_jerk_metrics_min_jerk,red_light_jerk_metrics_min_accel,red_light_jerk_metrics_min_abs_jerk,red_light_jerk_metrics_min_abs_accel,red_light_jerk_metrics_max_jerk,red_light_jerk_metrics_max_accel,red_light_jerk_metrics_max_abs_jerk,red_light_jerk_metrics_max_abs_accel,red_light_jerk_metrics_has_jerk_event,red_light_incursion_severity,red_light_incursion,red_light_hammer_scoring_error_rate_selected_intent,red_light_hammer_scoring_error_rate_all_intents,red_light_creeping_metrics_max_creep_velocity,red_light_creeping_metrics_has_creep_event,red_light_creeping_metrics_creep_velocity_threshold,red_light_creeping_metrics_creep_duration_secs,red_light_creeping_metrics_creep_counts,ranker_selected_rate_red_light_hammer_selected_intent,ranker_selected_rate_red_light_hammer_all_intents,is_strictly_red_light_running
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728416788_1728416808.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A0,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728413068_1728413088.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A1,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728417513_1728417533.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A2,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728417866_1728417886.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A3,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728413318_1728413338.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A4,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728416895_1728416915.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A5,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728417178_1728417198.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A6,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728414141_1728414161.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A7,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728410592_1728410612.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A8,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728414291_1728414311.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A9,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728413873_1728413893.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A10,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728417695_1728417715.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A11,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728417008_1728417028.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A12,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728414026_1728414046.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A13,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728418091_1728418111.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A14,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.1_2024-10-08/5G21A6P09L4100103_1728413520_1728413540.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=4d3c3075-2b65-50aa-beee-c5bbf80b9872%3A15,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,